burst_id,frame_idx,in_x,in_s
20260514_072549_gen2,3,0,1
20260514_090702_gen4,8,0,1
20260514_100403_gen1,1,1,0
20260514_100403_gen1,9,0,1
20260514_101356_gen2,2,0,1
20260514_101356_gen2,3,1,0
20260514_101356_gen2,4,1,0
20260514_101356_gen2,8,1,0
20260514_120717_gen3,2,0,1
20260514_120717_gen3,4,0,1
20260514_120717_gen3,9,0,1
20260514_120731_gen4,0,0,1
20260514_120731_gen4,2,0,1
20260514_120731_gen4,3,0,1
20260514_120746_gen5,0,0,1
20260514_120746_gen5,5,0,1
20260514_120746_gen5,7,0,1
20260514_183106_gen1,7,1,0
20260514_183106_gen1,8,1,0
20260514_190204_gen3,1,1,0
20260514_190204_gen3,2,1,0
20260514_190204_gen3,5,1,0
20260514_205859_gen7,0,1,0
20260514_205859_gen7,1,1,0
20260514_205859_gen7,2,1,0
20260514_205859_gen7,4,1,0
20260514_205859_gen7,6,1,0
20260514_205859_gen7,7,1,0
20260514_205859_gen7,8,1,0
20260514_210412_gen8,8,0,1
20260514_232901_gen1,3,1,0
20260514_233130_gen2,4,1,0
20260514_233130_gen2,5,1,0
20260514_233248_gen3,0,1,0
20260514_233248_gen3,3,0,1
20260514_233248_gen3,4,1,0
20260514_233248_gen3,5,1,0
20260514_233356_gen5,0,0,1
20260514_235213_gen7,1,1,0
20260514_235213_gen7,5,1,0
20260514_235213_gen7,6,1,0
20260514_235213_gen7,7,1,0
20260515_000749_gen8,1,1,0
20260515_000749_gen8,2,1,0
20260515_000749_gen8,4,1,0
20260515_000749_gen8,5,1,0
20260515_000749_gen8,7,1,0
20260515_004257_gen11,1,1,0
20260515_004257_gen11,2,1,0
20260515_004257_gen11,6,1,0
20260515_013311_gen12,4,1,0
20260515_013311_gen12,6,1,0
20260515_031942_gen14,5,1,0
20260515_031942_gen14,9,1,0
20260515_032343_gen17,0,1,0
20260515_032343_gen17,8,1,0
20260515_032644_gen21,2,1,0
20260515_041242_gen1,0,1,0
20260515_041254_gen2,6,1,0
20260515_041254_gen2,9,1,0
20260516_023522_gen1,3,1,0
20260516_023522_gen1,4,1,0
20260516_023522_gen1,5,1,0
20260516_023522_gen1,7,1,0
20260516_024006_gen2,2,1,0
20260516_024006_gen2,3,1,0
20260516_024006_gen2,4,1,0
20260516_024006_gen2,9,1,0
20260517_010914_gen1,1,1,0
20260517_010914_gen1,6,1,0
20260520_034353_gen1,0,1,0
20260520_034353_gen1,1,1,0
20260520_034353_gen1,3,1,0
20260520_034353_gen1,6,0,1
20260520_034353_gen1,9,1,0
20260520_050651_gen1,4,1,0
20260520_050651_gen1,5,0,1
20260520_050651_gen1,8,1,0
20260520_075249_gen1,5,1,0
20260520_080435_gen2,0,1,0
20260520_080435_gen2,4,0,1
20260520_150620_gen1,0,0,1
20260520_150620_gen1,1,0,1
20260520_150620_gen1,2,0,1
20260520_150620_gen1,3,0,1
20260520_150620_gen1,4,1,0
20260520_150620_gen1,5,1,0
20260520_150620_gen1,6,1,0
20260520_150620_gen1,7,1,0
20260520_150620_gen1,9,0,1
20260520_151012_gen3,9,1,0
20260520_155116_gen1,3,1,0
20260520_155116_gen1,9,0,1
20260520_173228_gen2,9,1,0
20260520_183212_gen4,7,0,1
20260520_193042_gen6,8,1,0
20260520_203641_gen2,0,1,0
20260520_203641_gen2,1,1,0
20260520_203641_gen2,3,1,0
20260520_203641_gen2,9,1,0
20260520_212620_gen10,7,1,0
20260520_212620_gen10,8,1,0
20260520_221137_gen11,0,0,1
20260520_221137_gen11,1,1,0
20260520_221137_gen11,5,1,0
20260520_221137_gen11,6,1,0
20260520_221137_gen11,9,1,0
20260521_013251_gen4,3,1,0
