mode,topk,w_prey,w_cat,w_count,prey_count_threshold,threshold,tp,fp,fn,tn,n,precision,recall,f1,objective
topk_mean,2,0.8,-0.3,0.0,0.3,1.44,0,0,27,362,389,0.0,0.0,0.0,135.0
topk_mean,2,0.8,-0.3,0.0,0.3,1.46,0,0,27,362,389,0.0,0.0,0.0,135.0
topk_mean,2,0.8,-0.3,0.0,0.3,1.48,0,0,27,362,389,0.0,0.0,0.0,135.0
topk_mean,2,0.8,-0.3,0.0,0.3,1.5,0,0,27,362,389,0.0,0.0,0.0,135.0
topk_mean,2,0.8,-0.3,0.0,0.3,1.52,0,0,27,362,389,0.0,0.0,0.0,135.0
topk_mean,2,0.8,-0.3,0.0,0.3,1.54,0,0,27,362,389,0.0,0.0,0.0,135.0
topk_mean,2,0.8,-0.3,0.0,0.3,1.56,0,0,27,362,389,0.0,0.0,0.0,135.0
topk_mean,2,0.8,-0.3,0.0,0.3,1.58,0,0,27,362,389,0.0,0.0,0.0,135.0
topk_mean,3,0.8,-0.3,0.0,0.3,0.1,24,5,3,357,389,0.8275862068965517,0.8888888888888888,0.8571428571428572,20.0
topk_mean,3,0.8,-0.3,0.0,0.3,0.12,24,4,3,358,389,0.8571428571428571,0.8888888888888888,0.8727272727272727,19.0
topk_mean,3,0.8,-0.3,0.0,0.3,0.14,24,4,3,358,389,0.8571428571428571,0.8888888888888888,0.8727272727272727,19.0
topk_mean,3,0.8,-0.3,0.0,0.3,0.16,24,4,3,358,389,0.8571428571428571,0.8888888888888888,0.8727272727272727,19.0
topk_mean,3,0.8,-0.3,0.0,0.3,0.18,24,2,3,360,389,0.9230769230769231,0.8888888888888888,0.9056603773584906,17.0
topk_mean,3,0.8,-0.3,0.0,0.3,0.2,24,1,3,361,389,0.96,0.8888888888888888,0.923076923076923,16.0
topk_mean,3,0.8,-0.3,0.0,0.3,0.22,24,1,3,361,389,0.96,0.8888888888888888,0.923076923076923,16.0
topk_mean,3,0.8,-0.3,0.0,0.3,0.24,24,0,3,362,389,1.0,0.8888888888888888,0.9411764705882353,15.0
topk_mean,3,0.8,-0.3,0.0,0.3,0.26,24,0,3,362,389,1.0,0.8888888888888888,0.9411764705882353,15.0
topk_mean,3,0.8,-0.3,0.0,0.3,0.28,24,0,3,362,389,1.0,0.8888888888888888,0.9411764705882353,15.0
topk_mean,3,0.8,-0.3,0.0,0.3,0.3,24,0,3,362,389,1.0,0.8888888888888888,0.9411764705882353,15.0
topk_mean,3,0.8,-0.3,0.0,0.3,0.32,24,0,3,362,389,1.0,0.8888888888888888,0.9411764705882353,15.0
